A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,1
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,2
No,No,No,No,Yes,Yes,F,gemma2:2b,underreporting,3
Yes,No,Yes,Yes,No,No,C,gemma2:2b,underreporting,4
No,Yes,Yes,No,No,Yes,B,gemma2:2b,underreporting,5
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,6
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,7
No,Yes,Yes,No,No,Yes,B,gemma2:2b,underreporting,8
No,Yes,Yes,No,Yes,Yes,B,gemma2:2b,underreporting,9
No,Yes,No,No,No,No,B,gemma2:2b,underreporting,10
No,Yes,Yes,No,No,No,B,gemma2:2b,underreporting,11
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,12
Yes,Yes,Yes,No,No,Yes,B,gemma2:2b,underreporting,13
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,14
No,No,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,15
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,16
No,Yes,Yes,No,Yes,No,C,gemma2:2b,underreporting,17
No,Yes,Yes,No,No,Yes,B,gemma2:2b,underreporting,18
No,Yes,Yes,No,Yes,Yes,E,gemma2:2b,underreporting,19
No,Yes,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,20
No,No,No,No,Yes,No,E,gemma2:2b,underreporting,21
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,22
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,23
No,Yes,Yes,No,Yes,Yes,B,gemma2:2b,underreporting,24
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,25
Yes,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,26
No,No,No,No,No,No,None,gemma2:2b,underreporting,27
Yes,Yes,Yes,No,Yes,Yes,F,gemma2:2b,underreporting,28
No,Yes,Yes,No,Yes,Yes,E,gemma2:2b,underreporting,29
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,30
Yes,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,31
Yes,No,No,Yes,No,No,A,gemma2:2b,underreporting,32
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,33
No,No,Yes,No,No,No,C,gemma2:2b,underreporting,34
Yes,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,35
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,36
No,No,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,37
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,38
No,Yes,Yes,No,No,No,B,gemma2:2b,underreporting,39
Yes,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,40
Yes,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,41
No,No,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,42
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,43
No,No,Yes,No,No,Yes,F,gemma2:2b,underreporting,44
No,No,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,45
No,Yes,Yes,No,Yes,Yes,B,gemma2:2b,underreporting,46
No,No,Yes,No,No,No,C,gemma2:2b,underreporting,47
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,underreporting,48
Yes,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,49
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,underreporting,50
No,Yes,Yes,No,Yes,No,C,gemma2:2b,underreporting,51
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,52
No,Yes,Yes,No,No,Yes,F,gemma2:2b,underreporting,53
No,Yes,Yes,No,Yes,No,E,gemma2:2b,underreporting,54
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,55
Yes,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,56
No,Yes,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,57
Yes,No,Yes,Yes,Yes,No,A,gemma2:2b,underreporting,58
No,No,Yes,No,No,No,C,gemma2:2b,underreporting,59
Yes,Yes,Yes,No,No,No,C,gemma2:2b,underreporting,60
Yes,No,Yes,Yes,No,No,C,gemma2:2b,underreporting,61
No,No,Yes,No,No,No,C,gemma2:2b,underreporting,62
Yes,No,Yes,Yes,No,No,C,gemma2:2b,underreporting,63
Yes,No,No,No,No,Yes,F,gemma2:2b,underreporting,64
No,No,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,65
No,Yes,Yes,No,Yes,No,B,gemma2:2b,underreporting,66
No,No,No,No,No,Yes,F,gemma2:2b,underreporting,67
Yes,No,No,No,Yes,Yes,F,gemma2:2b,underreporting,68
Yes,Yes,Yes,No,No,No,C,gemma2:2b,underreporting,69
No,Yes,Yes,No,Yes,No,B,gemma2:2b,underreporting,70
No,Yes,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,71
1,0,0,1,0,0,D,gemma2:2b,underreporting,72
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,73
Yes,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,74
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,75
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,76
Yes,No,Yes,No,No,No,C,gemma2:2b,underreporting,77
Yes,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,78
Yes,No,Yes,Yes,Yes,No,C,gemma2:2b,underreporting,79
Yes,No,Yes,No,Yes,No,A,gemma2:2b,underreporting,80
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,81
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,82
No,Yes,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,83
No,No,Yes,No,No,No,C,gemma2:2b,underreporting,84
