A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,1
Yes,No,Yes,No,Yes,Yes,No,gemma2:2b,overreporting,2
Yes,No,Yes,Yes,Yes,Yes,No,gemma2:2b,overreporting,3
Yes,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,4
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,5
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,6
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,7
No,No,Yes,No,Yes,Yes,No,gemma2:2b,overreporting,8
No,Yes,No,No,No,No,Yes,gemma2:2b,overreporting,9
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,10
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,11
No,Yes,Yes,No,Yes,No,No,gemma2:2b,overreporting,12
Yes,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,13
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,14
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,15
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,16
No,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,17
No,No,Yes,Yes,Yes,Yes,No,gemma2:2b,overreporting,18
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,19
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,20
No,Yes,Yes,No,Yes,No,No,gemma2:2b,overreporting,21
Yes,Yes,Yes,No,No,No,Yes,gemma2:2b,overreporting,22
No,No,Yes,Yes,Yes,Yes,No,gemma2:2b,overreporting,23
Yes,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,24
No,No,Yes,No,Yes,No,Yes,gemma2:2b,overreporting,25
No,No,Yes,Yes,Yes,No,Yes,gemma2:2b,overreporting,26
Yes,Yes,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,27
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,28
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,29
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,30
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,31
No,Yes,Yes,No,Yes,Yes,No,gemma2:2b,overreporting,32
No,Yes,Yes,No,Yes,No,No,gemma2:2b,overreporting,33
No,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,34
No,Yes,Yes,No,No,Yes,No,gemma2:2b,overreporting,35
Yes,No,Yes,No,Yes,Yes,No,gemma2:2b,overreporting,36
No,No,Yes,No,Yes,No,No,gemma2:2b,overreporting,37
Yes,No,Yes,No,Yes,Yes,No,gemma2:2b,overreporting,38
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,overreporting,39
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,40
Yes,No,Yes,No,No,No,No,gemma2:2b,overreporting,41
Yes,No,Yes,No,No,Yes,Yes,gemma2:2b,overreporting,42
No,Yes,Yes,No,No,No,Yes,gemma2:2b,overreporting,43
Yes,Yes,No,No,Yes,No,Yes,gemma2:2b,overreporting,44
