A,B,C,D,E,F,G,model,survey,id
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,1
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,2
No,No,No,No,Yes,No,Yes,gemma2:2b,underreporting,3
No,No,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,4
No,Yes,Yes,No,No,No,Yes,gemma2:2b,underreporting,5
Yes,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,6
No,Yes,Yes,No,No,No,Yes,gemma2:2b,underreporting,7
No,Yes,Yes,No,No,No,Yes,gemma2:2b,underreporting,8
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:2b,underreporting,9
No,Yes,No,No,Yes,No,No,gemma2:2b,underreporting,10
No,Yes,Yes,No,No,No,No,gemma2:2b,underreporting,11
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,12
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,13
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,14
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,underreporting,15
No,Yes,Yes,No,Yes,No,No,gemma2:2b,underreporting,16
No,Yes,Yes,No,Yes,No,No,gemma2:2b,underreporting,17
No,Yes,Yes,No,No,No,Yes,gemma2:2b,underreporting,18
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,19
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,20
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,underreporting,21
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,22
No,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,23
No,Yes,Yes,No,No,No,Yes,gemma2:2b,underreporting,24
No,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,25
No,No,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,26
No,No,No,No,No,No,No,gemma2:2b,underreporting,27
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,28
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,29
Yes,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,30
Yes,No,No,No,Yes,Yes,No,gemma2:2b,underreporting,31
Yes,No,Yes,Yes,No,No,No,gemma2:2b,underreporting,32
No,Yes,Yes,No,No,Yes,No,gemma2:2b,underreporting,33
No,No,Yes,No,No,No,No,gemma2:2b,underreporting,34
No,No,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,35
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,36
No,No,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,37
No,No,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,38
No,Yes,Yes,No,No,No,No,gemma2:2b,underreporting,39
Yes,No,Yes,No,No,Yes,No,gemma2:2b,underreporting,40
Yes,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,41
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,42
No,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,43
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,44
Yes,No,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,45
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,46
No,No,Yes,No,No,Yes,No,gemma2:2b,underreporting,47
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,48
No,No,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,49
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,50
No,Yes,Yes,No,No,Yes,No,gemma2:2b,underreporting,51
No,No,Yes,No,No,No,No,gemma2:2b,underreporting,52
No,Yes,Yes,No,No,No,Yes,gemma2:2b,underreporting,53
No,Yes,Yes,Yes,Yes,No,No,gemma2:2b,underreporting,54
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,55
Yes,No,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,56
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,57
Yes,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,58
Yes,No,Yes,No,No,No,No,gemma2:2b,underreporting,59
Yes,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,60
No,No,Yes,Yes,No,Yes,No,gemma2:2b,underreporting,61
No,No,Yes,No,No,Yes,No,gemma2:2b,underreporting,62
No,No,Yes,Yes,Yes,No,Yes,gemma2:2b,underreporting,63
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,64
No,No,Yes,No,Yes,Yes,Yes,gemma2:2b,underreporting,65
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,66
No,No,Yes,No,No,No,Yes,gemma2:2b,underreporting,67
No,No,No,No,No,No,Yes,gemma2:2b,underreporting,68
Yes,Yes,Yes,No,No,Yes,No,gemma2:2b,underreporting,69
No,Yes,No,No,Yes,No,No,gemma2:2b,underreporting,70
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,71
Yes,No,Yes,Yes,No,Yes,No,gemma2:2b,underreporting,72
No,Yes,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,73
Yes,No,Yes,No,No,No,No,gemma2:2b,underreporting,74
No,No,Yes,No,No,No,Yes,gemma2:2b,underreporting,75
No,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,76
No,No,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,77
No,Yes,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,78
Yes,No,Yes,Yes,No,No,No,gemma2:2b,underreporting,79
No,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,80
No,Yes,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,81
No,No,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,82
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,83
No,No,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,84
Yes,No,Yes,No,Yes,No,No,gemma2:2b,underreporting,85
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,86
No,No,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,87
No,No,Yes,No,No,Yes,No,gemma2:2b,underreporting,88
No,Yes,Yes,No,Yes,No,Yes,gemma2:2b,underreporting,89
No,No,No,No,Yes,No,No,gemma2:2b,underreporting,90
No,Yes,Yes,No,No,No,Yes,gemma2:2b,underreporting,91
Yes,Yes,Yes,No,No,No,No,gemma2:2b,underreporting,92
Yes,No,Yes,Yes,No,No,No,gemma2:2b,underreporting,93
No,No,Yes,No,No,Yes,Yes,gemma2:2b,underreporting,94
No,Yes,Yes,No,Yes,No,No,gemma2:2b,underreporting,95
Yes,No,Yes,No,No,Yes,No,gemma2:2b,underreporting,96
Yes,No,Yes,No,Yes,Yes,No,gemma2:2b,underreporting,97
No,No,Yes,Yes,Yes,Yes,Yes,gemma2:2b,underreporting,98
No,No,No,No,No,No,No,gemma2:2b,underreporting,99
No,No,Yes,Yes,No,Yes,No,gemma2:2b,underreporting,100
